# Time[fs]	ED=0.0012[aJ]	ED=0.0020[aJ]	ED=0.0028[aJ]	ED=0.0035[aJ]
1206.0	2.40467292988E-7	1.52507376958E-5	2.02185926311E-4	0.00353930300865
1208.0	2.44902698383E-7	1.67022374982E-5	2.07020257657E-4	0.00364798428219
1210.0	2.48773223685E-7	1.78444144228E-5	2.1409506062E-4	0.00372380531362
1212.0	2.53247298412E-7	1.86895250933E-5	2.20045323435E-4	0.00382321632319
1214.0	2.59261560443E-7	1.96683283627E-5	2.27789346925E-4	0.00392204410139
1216.0	2.65815319846E-7	2.06232440828E-5	2.35597222656E-4	0.00399466078971
1218.0	2.70982550872E-7	2.13736302307E-5	2.46997394413E-4	0.00407100044245
1220.0	2.75326252778E-7	2.21018505092E-5	2.55863121094E-4	0.00414094172463
1222.0	2.78994112492E-7	2.30485999435E-5	2.65430443154E-4	0.00421765124092
1224.0	2.83891867434E-7	2.39634894326E-5	2.72946821429E-4	0.00432093882451
1226.0	2.89171397031E-7	2.54460999377E-5	2.7893151962E-4	0.00440189491985
1228.0	2.96474473197E-7	2.6574288787E-5	2.84659598884E-4	0.00451366359823
1230.0	3.02659577048E-7	2.78182171668E-5	2.91116200345E-4	0.0045880871032
1232.0	3.07197028173E-7	2.88590006551E-5	3.01723630159E-4	0.00465547143879
1234.0	3.11148745907E-7	2.96231130717E-5	3.12374615478E-4	0.00474010814541
1236.0	3.16438605603E-7	3.05295308719E-5	3.24507028391E-4	0.00484758547016
1238.0	3.22571754714E-7	3.13631368002E-5	3.35550205672E-4	0.00495095097396
1240.0	3.27254218434E-7	3.22640637697E-5	3.51245960672E-4	0.00505799072917
1242.0	3.33050497734E-7	3.33669336093E-5	3.65641170019E-4	0.0051507451132
1244.0	3.39634426501E-7	3.46580376232E-5	3.82834319621E-4	0.00527760110542
1246.0	3.46706987648E-7	3.62009409174E-5	3.9769238928E-4	0.00536729018482
1248.0	3.55304649737E-7	3.76055209271E-5	4.12622381637E-4	0.00550465139684
1250.0	3.64194225082E-7	3.94149846665E-5	4.25991593872E-4	0.00560447559404
1252.0	3.77232951775E-7	4.13612475546E-5	4.3828473571E-4	0.00571660134079
1254.0	3.88938072726E-7	4.34714520449E-5	4.5061294413E-4	0.00581114024076
1256.0	4.05009676744E-7	4.54910663125E-5	4.64228865708E-4	0.00591182101474
1258.0	4.25962007324E-7	4.74145753701E-5	4.79495445693E-4	0.00599336574036
1260.0	4.45732192215E-7	4.88203550162E-5	4.94408935077E-4	0.00609818832542
1262.0	4.61687980674E-7	5.02651307015E-5	5.1172254069E-4	0.00620488024737
