# Time[fs]	ED_cav=0.03[aJ]	ED_free=0.03[aJ]	ED_cav=0.06[aJ]	ED_free=0.06[aJ]	ED_cav=0.11[aJ]	ED_free=0.11[aJ]
1124.0	2.64480577817E-5	1.16513460973E-7	0.00587866229614	3.02957196743E-4	0.722702784561	0.782380514319
1126.0	2.70854702424E-5	1.16531001969E-7	0.00592773869601	3.05762456805E-4	0.723026798641	0.783492987849
1128.0	2.76318467208E-5	1.16560612618E-7	0.00599569519263	3.08365036201E-4	0.72343812085	0.783982450777
1130.0	2.8085612143E-5	1.16584420973E-7	0.00605208586507	3.11347170859E-4	0.723761582631	0.784998682796
1132.0	2.84983795605E-5	1.16586847547E-7	0.00611084048627	3.12407497785E-4	0.724019531287	0.785191419688
1134.0	2.88034665756E-5	1.16589702161E-7	0.00616045360385	3.13063160905E-4	0.724770416464	0.786206408959
1136.0	2.90466152223E-5	1.16591704978E-7	0.00620443553308	3.13555432282E-4	0.725459379494	0.787159596348
1138.0	2.92474811087E-5	1.16594145983E-7	0.00643001005402	3.13567325386E-4	0.726100695242	0.788265741352
1140.0	2.9460083637E-5	1.16603889766E-7	0.00664569680112	3.13664339655E-4	0.726886288261	0.78960953744
1142.0	2.96823226153E-5	1.16643032555E-7	0.00681821882505	3.14031015721E-4	0.727685176707	0.791276809784
1144.0	3.01325339031E-5	1.16674256524E-7	0.00693365666227	3.15557885899E-4	0.728370033334	0.792788432858
1146.0	3.06293522616E-5	1.16675865299E-7	0.00702900911131	3.19766092107E-4	0.728859026044	0.793781773959
1148.0	3.11378388771E-5	1.16677161306E-7	0.0070996450316	3.20678274128E-4	0.72919116363	0.794262073042
1150.0	3.15045156761E-5	1.16677040682E-7	0.00720073378141	3.24122512774E-4	0.729556067879	0.79451561845
1152.0	3.18798025659E-5	1.16678096857E-7	0.00729755141659	3.24386637312E-4	0.729804944261	0.795617068078
1154.0	3.23708351913E-5	1.16680096253E-7	0.00734765787506	3.24693059863E-4	0.730132176193	0.795599909843
1156.0	3.26890021349E-5	1.16683136413E-7	0.00743334269504	3.25271952678E-4	0.730857133286	0.796562327361
1158.0	3.2971766076E-5	1.16684229014E-7	0.00749476720789	3.26202589987E-4	0.731536267625	0.798433688116
1160.0	3.32504998482E-5	1.16685620872E-7	0.00766543913244	3.26811436574E-4	0.732108773957	0.798780818887
1162.0	3.3470583029E-5	1.16688491787E-7	0.00781460852265	3.27017242872E-4	0.733014210399	0.799788743443
1164.0	3.37674189194E-5	1.16695029282E-7	0.00798696307695	3.27094090724E-4	0.733823899617	0.801553576782
1166.0	3.43203852673E-5	1.16705050156E-7	0.00809586713281	3.27323380043E-4	0.734689997022	0.801607705545
1168.0	3.49466935289E-5	1.16710955143E-7	0.00818036771124	3.27900408779E-4	0.735109135819	0.802627678058
